deso,kommun,lan,kommunnamn,lannamn,2_doser,minst_1_dos
1270C1030,1270,12,Tomelilla,Skåne,0.66,0.77
1280C1030,1280,12,Malmö,Skåne,0.75,0.85
1280C1060,1280,12,Malmö,Skåne,0.57,0.68
1280C1070,1280,12,Malmö,Skåne,0.5,0.64
1280C1200,1280,12,Malmö,Skåne,0.4,0.55
1291C1010,1291,12,Simrishamn,Skåne,0.8,0.87
1291C1030,1291,12,Simrishamn,Skåne,0.71,0.81
1280C1050,1280,12,Malmö,Skåne,0.7,0.8
1280C1260,1280,12,Malmö,Skåne,0.45,0.55
1270C1040,1270,12,Tomelilla,Skåne,0.72,0.83
1291C1020,1291,12,Simrishamn,Skåne,0.76,0.83
1280C1040,1280,12,Malmö,Skåne,0.75,0.84
1280C1100,1280,12,Malmö,Skåne,0.69,0.79
1291B2010,1291,12,Simrishamn,Skåne,0.69,0.79
1280C1310,1280,12,Malmö,Skåne,0.4,0.56
1280C1080,1280,12,Malmö,Skåne,0.65,0.75
1291C1040,1291,12,Simrishamn,Skåne,0.79,0.86
1280C1170,1280,12,Malmö,Skåne,0.4,0.53
1280C1130,1280,12,Malmö,Skåne,0.67,0.77
1280C1110,1280,12,Malmö,Skåne,0.58,0.67
1280C1120,1280,12,Malmö,Skåne,0.74,0.83
1280C1190,1280,12,Malmö,Skåne,0.78,0.85
1286A0060,1286,12,Ystad,Skåne,0.73,0.82
1280C1610,1280,12,Malmö,Skåne,0.52,0.63
1280C1150,1280,12,Malmö,Skåne,0.64,0.73
1280C1220,1280,12,Malmö,Skåne,0.62,0.73
1280C1290,1280,12,Malmö,Skåne,0.4,0.49
1280C1300,1280,12,Malmö,Skåne,0.56,0.64
1280C1870,1280,12,Malmö,Skåne,0.59,0.7
1280C1920,1280,12,Malmö,Skåne,0.79,0.86
0182C1200,0182,01,Nacka,Stockholm,0.78,0.88
1280C1280,1280,12,Malmö,Skåne,0.63,0.74
1280C1250,1280,12,Malmö,Skåne,0.82,0.89
1280C1320,1280,12,Malmö,Skåne,0.35,0.48
1280C1180,1280,12,Malmö,Skåne,0.55,0.64
1380C1200,1380,13,Halmstad,Halland,0.48,0.74
0763A0040,0763,07,Tingsryd,Kronoberg,0.69,0.82
1380C1190,1380,13,Halmstad,Halland,0.57,0.7
1380C1090,1380,13,Halmstad,Halland,0.55,0.81
1280C1270,1280,12,Malmö,Skåne,0.5,0.67
1280C1360,1280,12,Malmö,Skåne,0.53,0.61
1280C1330,1280,12,Malmö,Skåne,0.6,0.66
1280C1380,1280,12,Malmö,Skåne,0.39,0.49
0980A0010,0980,09,Gotland,Gotland,0.79,0.91
1280C1350,1280,12,Malmö,Skåne,0.42,0.55
1280C1390,1280,12,Malmö,Skåne,0.54,0.62
1291A0010,1291,12,Simrishamn,Skåne,0.75,0.82
1280C1460,1280,12,Malmö,Skåne,0.48,0.58
1280C1430,1280,12,Malmö,Skåne,0.39,0.49
1280C1420,1280,12,Malmö,Skåne,0.63,0.73
1280C1370,1280,12,Malmö,Skåne,0.59,0.67
1280C1410,1280,12,Malmö,Skåne,0.84,0.92
1280C1470,1280,12,Malmö,Skåne,0.46,0.55
1282C1080,1282,12,Landskrona,Skåne,0.48,0.63
1280C1400,1280,12,Malmö,Skåne,0.72,0.8
1264A0040,1264,12,Skurup,Skåne,0.65,0.76
1280C1340,1280,12,Malmö,Skåne,0.7,0.83
1280C1530,1280,12,Malmö,Skåne,0.37,0.5
1280C1480,1280,12,Malmö,Skåne,0.37,0.47
1280C1510,1280,12,Malmö,Skåne,0.53,0.64
1280C1490,1280,12,Malmö,Skåne,0.63,0.72
1280C1580,1280,12,Malmö,Skåne,0.45,0.58
1280C1570,1280,12,Malmö,Skåne,0.64,0.74
1280C1590,1280,12,Malmö,Skåne,0.7,0.77
1280C1440,1280,12,Malmö,Skåne,0.69,0.79
1263B2010,1263,12,Svedala,Skåne,0.72,0.82
1280C1600,1280,12,Malmö,Skåne,0.44,0.54
1280C1620,1280,12,Malmö,Skåne,0.61,0.71
1280C1700,1280,12,Malmö,Skåne,0.47,0.57
1280C1500,1280,12,Malmö,Skåne,0.48,0.61
1280C1560,1280,12,Malmö,Skåne,0.83,0.91
1280C1710,1280,12,Malmö,Skåne,0.37,0.51
1280C1650,1280,12,Malmö,Skåne,0.74,0.82
1280C1450,1280,12,Malmö,Skåne,0.64,0.74
1280C1740,1280,12,Malmö,Skåne,0.41,0.54
1280C1540,1280,12,Malmö,Skåne,0.79,0.88
1280C1730,1280,12,Malmö,Skåne,0.67,0.73
1280C1780,1280,12,Malmö,Skåne,0.56,0.63
0834A0010,0834,08,Torsås,Kalmar,0.79,0.85
1381C1020,1381,13,Laholm,Halland,0.76,0.88
1280C1670,1280,12,Malmö,Skåne,0.81,0.88
1280C1770,1280,12,Malmö,Skåne,0.48,0.66
1280C1800,1280,12,Malmö,Skåne,0.45,0.61
1280C1660,1280,12,Malmö,Skåne,0.86,0.92
0182C1450,0182,01,Nacka,Stockholm,0.74,0.88
1280C1840,1280,12,Malmö,Skåne,0.4,0.49
1280C1830,1280,12,Malmö,Skåne,0.31,0.39
1280C1550,1280,12,Malmö,Skåne,0.65,0.76
1280C1820,1280,12,Malmö,Skåne,0.6,0.69
