lan,kommun,deso,lannamn,kommunnamn,regso,age,minst_1_dos,2_doser
08,0880,0880C1120,Kalmar,Kalmar,Djurängen-Funkabo-Oxhagen,18-64,60-70,50-60
08,0880,0880C1120,Kalmar,Kalmar,Djurängen-Funkabo-Oxhagen,65+,80-90,80-90
12,1293,1293B4010,Skåne,Hässleholm,Bjärnum västra,18-64,60-70,50-60
12,1293,1293B4010,Skåne,Hässleholm,Bjärnum västra,65+,80-90,80-90
12,1293,1293A0050,Skåne,Hässleholm,Hågnarp-Mala-Vankiva,18-64,70-80,60-70
12,1293,1293A0050,Skåne,Hässleholm,Hågnarp-Mala-Vankiva,65+,90-100,90-100
12,1293,1293A0040,Skåne,Hässleholm,Slättsjö-Röke-Öraholma,18-64,70-80,60-70
12,1293,1293A0040,Skåne,Hässleholm,Slättsjö-Röke-Öraholma,65+,90-100,80-90
12,1293,1293B4020,Skåne,Hässleholm,Bjärnum östra,18-64,60-70,50-60
12,1293,1293B4020,Skåne,Hässleholm,Bjärnum östra,65+,90-100,90-100
12,1257,1257C1040,Skåne,Örkelljunga,Örkelljunga västra,18-64,70-80,60-70
12,1257,1257C1040,Skåne,Örkelljunga,Örkelljunga västra,65+,90-100,90-100
12,1284,1284A0020,Skåne,Höganäs,Höganäs landsbygd,18-64,70-80,60-70
12,1284,1284A0020,Skåne,Höganäs,Höganäs landsbygd,65+,90-100,90-100
12,1256,1256B3010,Skåne,Östra Göinge,Glimåkra,18-64,60-70,50-60
12,1256,1256B3010,Skåne,Östra Göinge,Glimåkra,65+,90-100,90-100
12,1292,1292C1140,Skåne,Ängelholm,Vejbystrand-Magnarp-Skepparkroken,18-64,80-90,70-80
12,1292,1292C1140,Skåne,Ängelholm,Vejbystrand-Magnarp-Skepparkroken,65+,90-100,90-100
12,1293,1293A0070,Skåne,Hässleholm,Hagsjö-Kråkeberga-Äskeberga,18-64,70-80,50-60
12,1293,1293A0070,Skåne,Hässleholm,Hagsjö-Kråkeberga-Äskeberga,65+,90-100,90-100
12,1292,1292B3010,Skåne,Ängelholm,Hjärnarp-Margretetorp-Svenstorp,18-64,70-80,60-70
12,1292,1292B3010,Skåne,Ängelholm,Hjärnarp-Margretetorp-Svenstorp,65+,90-100,80-90
10,1081,1081A0030,Blekinge,Ronneby,Bräkne-Hoby,18-64,80-90,70-80
10,1081,1081A0030,Blekinge,Ronneby,Bräkne-Hoby,65+,90-100,90-100
10,1081,1081A0020,Blekinge,Ronneby,Saxemara-Listerby-Johannishus,18-64,80-90,70-80
10,1081,1081A0020,Blekinge,Ronneby,Saxemara-Listerby-Johannishus,65+,90-100,80-90
10,1060,1060B2010,Blekinge,Olofström,Kyrkhult-Kyrkhult närområde,18-64,80-90,60-70
10,1060,1060B2010,Blekinge,Olofström,Kyrkhult-Kyrkhult närområde,65+,80-90,80-90
12,1293,1293B6010,Skåne,Hässleholm,Vittsjö,18-64,70-80,50-60
12,1293,1293B6010,Skåne,Hässleholm,Vittsjö,65+,90-100,80-90
12,1273,1273C1010,Skåne,Osby,Osby södra,18-64,80-90,60-70
12,1273,1273C1010,Skåne,Osby,Osby södra,65+,90-100,90-100
12,1278,1278C1010,Skåne,Båstad,Båstad västra,18-64,70-80,60-70
12,1278,1278C1010,Skåne,Båstad,Båstad västra,65+,90-100,90-100
12,1278,1278C1030,Skåne,Båstad,Östra Karup-Hemmeslöv,18-64,70-80,60-70
12,1278,1278C1030,Skåne,Båstad,Östra Karup-Hemmeslöv,65+,90-100,90-100
12,1273,1273A0020,Skåne,Osby,Osby omland,18-64,70-80,60-70
12,1273,1273A0020,Skåne,Osby,Osby omland,65+,90-100,80-90
07,0763,0763B2010,Kronoberg,Tingsryd,Ryds tätort,18-64,70-80,60-70
07,0763,0763B2010,Kronoberg,Tingsryd,Ryds tätort,65+,90-100,90-100
13,1381,1381A0020,Halland,Laholm,Hasslöv-Ränneslöv-Våxtorp,18-64,70-80,50-60
13,1381,1381A0020,Halland,Laholm,Hasslöv-Ränneslöv-Våxtorp,65+,90-100,90-100
12,1273,1273A0010,Skåne,Osby,Lönsboda omland,18-64,70-80,60-70
12,1273,1273A0010,Skåne,Osby,Lönsboda omland,65+,90-100,90-100
10,1081,1081A0040,Blekinge,Ronneby,Hasselstad-Eringsboda,18-64,70-80,60-70
10,1081,1081A0040,Blekinge,Ronneby,Hasselstad-Eringsboda,65+,90-100,90-100
12,1278,1278A0020,Skåne,Båstad,Västra Karup-Hov,18-64,70-80,60-70
12,1278,1278A0020,Skåne,Båstad,Västra Karup-Hov,65+,90-100,90-100
10,1080,1080A0100,Blekinge,Karlskrona,Holmsjö-Strömsberg-Kättilsmåla,18-64,70-80,60-70
10,1080,1080A0100,Blekinge,Karlskrona,Holmsjö-Strömsberg-Kättilsmåla,65+,90-100,90-100
12,1273,1273C1020,Skåne,Osby,Osby södra,18-64,80-90,60-70
12,1273,1273C1020,Skåne,Osby,Osby södra,65+,90-100,90-100
12,1278,1278B2020,Skåne,Båstad,Västra Förslöv,18-64,60-70,50-60
12,1278,1278B2020,Skåne,Båstad,Västra Förslöv,65+,90-100,80-90
12,1278,1278B2010,Skåne,Båstad,Östra Förslöv,18-64,70-80,60-70
12,1278,1278B2010,Skåne,Båstad,Östra Förslöv,65+,90-100,80-90
10,1082,1082A0030,Blekinge,Karlshamn,Mörrum-Svängsta omland,18-64,70-80,60-70
